year,X0,Coordinates0,Latitude0,Longitude0,freq
1990,"'Abidjan',Ivory Coast",Abidjan,5.3269,-4.02173,14
1990,"'Addis Ababa',Ethiopia",Ethiopia,9.03194,38.75351,1
1990,"'Agriculture Ministry',Poland",Agriculture Ministry,27.67343,85.29137,1
1990,"'Albania',Albania","Albania, Morrorico, Bucaramanga, Santander",7.1311,-73.1061,1
1990,"'Amsterdam',Netherlands",Amsterdam,52.36993,4.90788,1
1990,"'Antananarivo',Madagascar","Antananarivo, Analamanga",-18.91003,47.52736,1
1990,"'Asyut',Egypt",Asyūţ,27.18096,31.18368,1
1990,"'Baku',USSR",Ussr,40.37016,49.83902,4
1990,"'Bamako',Mali",Bamako,12.65039,-8.00004,2
1990,"'Bamenda',Cameroon","Bamenda, Mezam, Northwest",5.95964,10.15603,2
1990,"'Bangui',Central African Republic",Bangui,4.39669,18.5586,1
1990,"'Barnsley',United Kingdom","Barnsley, South Yorkshire, England",53.55354112,-1.482594405,1
1990,"'Barquisimeto',Venezuela","Barquisimeto, Iribarren, Lara",10.05006,-69.39269,1
1990,"'Beijing',China",Beijing,39.9075,116.39723,2
1990,"'Belgrade',Yugoslavia",Jugoslavija,44.83015,20.41965,2
1990,"'Berlin',Germany",Berlin,52.51604,13.37691,2
1990,"'Berlin',USSR",Berlin,52.64663,13.50765,1
1990,"'Bern',Switzerland",Bern,46.94843,7.44046,1
1990,"'Bhaktapur',Nepal","Bhaktapur, Bagmati",27.67471,85.42955,1
1990,"'Bogota',Colombia","Colombia, Barrios Unidos, Bogota, Bogotá, D.C.",4.65995,-74.06648,1
1990,"'Bradford',United Kingdom","Bradford, West Yorkshire, England",53.7907931,-1.754564317,1
1990,"'Brasov',Romania",Brașov,45.64268,25.58871,1
1990,"'Bratislava',Czechoslovakia",KIA,48.2019,17.04313,1
1990,"'Brighton',United Kingdom","Brighton, Cornwall, England",50.35195602,-4.947454669,1
1990,"'Bristol',United Kingdom","Bristol, England",51.45313247,-2.600983373,1
1990,"'Bucharest',Romania",Bucharest,44.43429,26.10298,1
1990,"'Buenos',Argentina",Argentina,-35.49575818,-65.07154211,6
1990,"'Bulawayo',Zimbabwe",Zimbabwe,-20.14869,28.58907,1
1990,"'Burg East Germany',USSR","Burg, Sachsen-Anhalt",52.27063,11.85561,1
1990,"'Busan',South Korea",Busan,35.10278,129.04028,1
1990,"'Butwal',Nepal",Butwāl,27.70055,83.44836,1
1990,"'Calais',France","Calais, Pas-de-Calais, Hauts-de-France",50.95319,1.85366,1
1990,"'Cape Town',South Africa",S Africa,-33.98609,18.46878,2
1990,"'Caracas',Venezuela","Caracas, Municipio Libertador, Distrito Capital",10.48801,-66.87919,5
1990,"'Carletonville',South Africa","Carletonville, West Rand, Gauteng",-26.36801,27.39454,1
1990,"'Chelyabinsk',USSR",Chelyabinsk,55.14149,61.41182,1
1990,"'Chimore',Bolivia",Chimoré,-16.99271,-65.15351,1
1990,"'Chita',USSR",Chita,-8.48449,15.75503,1
1990,"'Cizre',Turkey","Cizre, Şırnak",37.33278,42.18877,1
1990,"'Cluj',Romania",Cluj,46.81199078,23.53429212,1
1990,"'Cornwall',United Kingdom","Cornwall, England",50.40619961,-4.823107893,1
1990,"'Corsica',France",Corsica,42.15139071,9.106033054,1
1990,"'Country',Nepal",Nepal,28.2591377,83.94416347,1
