year,country,ccode,protestdays,demand_labor,demand_land,demand_policebrutality,demand_political,demand_price,demand_removal,demand_social,nonviolent,protesterviolence,state_violence,both_violence
1990,Afghanistan,700,0,0,0,0,0,0,0,0,0,0,0,0
1990,Albania,339,6,0,0,2,5,0,0,0,2,3,4,2
1990,Algeria,615,2,0,0,0,2,0,0,0,2,0,0,0
1990,Angola,540,0,0,0,0,0,0,0,0,0,0,0,0
1990,Argentina,160,11,1,0,2,5,0,0,0,7,1,0,0
1990,Armenia,371,1,0,0,0,1,0,0,0,0,1,1,1
1990,Austria,305,1,0,0,0,1,0,0,0,1,0,0,0
1990,Bahrain,692,0,0,0,0,0,0,0,0,0,0,0,0
1990,Bangladesh,771,16,0,0,0,5,0,5,0,2,8,10,8
1990,Belgium,211,0,0,0,0,0,0,0,0,0,0,0,0
1990,Benin,434,2,1,0,0,0,0,0,0,1,0,0,0
1990,Bhutan,760,7,0,0,0,1,0,0,0,1,0,1,0
1990,Bolivia,145,37,0,1,0,2,0,0,0,3,0,0,0
1990,Botswana,571,0,0,0,0,0,0,0,0,0,0,0,0
1990,Brazil,140,14,1,0,0,4,0,0,0,5,0,0,0
1990,Bulgaria,355,62,0,0,1,22,3,14,3,30,5,0,0
1990,Burkina Faso,439,0,0,0,0,0,0,0,0,0,0,0,0
1990,Burundi,516,0,0,0,0,0,0,0,0,0,0,0,0
1990,Cambodia,811,0,0,0,0,0,0,0,0,0,0,0,0
1990,Cameroon,471,2,0,0,0,2,0,0,0,2,0,0,0
1990,Canada,20,63,1,1,1,4,0,0,0,4,2,1,0
1990,Cape Verde,402,0,0,0,0,0,0,0,0,0,0,0,0
1990,Central African Republic,482,1,0,0,0,1,0,0,0,0,1,1,1
1990,Chad,483,0,0,0,0,0,0,0,0,0,0,0,0
1990,Chile,155,3,0,0,0,2,0,0,0,1,1,0,0
1990,China,710,7,1,0,0,2,0,0,0,2,1,1,1
1990,Colombia,100,7,0,0,0,6,1,0,0,6,0,0,0
1990,Comoros,581,2,0,0,0,2,0,0,0,1,1,1,1
1990,Congo Brazzaville,484,0,0,0,0,0,0,0,0,0,0,0,0
1990,Congo Kinshasa,490,1,0,0,0,1,0,0,0,0,1,0,0
1990,Costa Rica,94,0,0,0,0,0,0,0,0,0,0,0,0
1990,Cuba,40,0,0,0,0,0,0,0,0,0,0,0,0
1990,Cyprus,352,1,0,0,0,1,0,0,0,1,0,0,0
1990,Czechoslovakia,315,5,0,0,0,4,0,0,0,3,1,0,0
1990,Denmark,390,0,0,0,0,0,0,0,0,0,0,0,0
1990,Djibouti,522,0,0,0,0,0,0,0,0,0,0,0,0
1990,Dominican Republic,42,6,0,0,0,1,3,0,0,2,2,2,2
1990,Ecuador,130,22,0,0,0,3,0,0,0,2,1,0,0
1990,Egypt,651,2,0,0,0,1,0,1,0,0,2,2,2
1990,El Salvador,92,0,0,0,0,0,0,0,0,0,0,0,0
1990,Equatorial Guinea,411,0,0,0,0,0,0,0,0,0,0,0,0
1990,Eritrea,531,0,0,0,0,0,0,0,0,0,0,0,0
1990,Ethiopia,530,1,0,0,0,1,0,0,0,0,1,0,0
1990,Finland,375,0,0,0,0,0,0,0,0,0,0,0,0
1990,France,220,30,14,1,1,22,13,1,3,15,12,0,0
1990,Gabon,481,18,0,1,0,5,0,1,0,2,4,2,0
1990,Gambia,420,0,0,0,0,0,0,0,0,0,0,0,0
1990,Georgia,372,9,0,0,0,2,0,0,0,2,0,0,0
1990,Germany,255,5,0,0,1,5,0,0,0,2,3,0,0
1990,Germany East,265,11,1,0,0,9,1,0,0,10,1,0,0
1990,Germany West,260,2,0,0,0,2,0,0,0,1,1,0,0
1990,Ghana,452,0,0,0,0,0,0,0,0,0,0,0,0
1990,Greece,350,7,1,0,0,6,0,1,0,4,3,2,2
1990,Guatemala,90,1,0,0,1,0,0,0,0,0,1,1,1
1990,Guinea,438,0,0,0,0,0,0,0,0,0,0,0,0
1990,Guinea-Bissau,404,0,0,0,0,0,0,0,0,0,0,0,0
1990,Guyana,110,0,0,0,0,0,0,0,0,0,0,0,0
1990,Haiti,41,5,0,0,1,1,0,1,0,1,1,1,1
1990,Honduras,91,2,1,0,0,2,1,0,0,2,0,0,0
1990,Hungary,310,6,2,1,0,1,2,0,0,5,0,0,0
1990,India,750,17,0,0,1,9,0,0,0,4,6,4,4
1990,Indonesia,850,1,0,0,0,1,0,0,0,1,0,0,0
1990,Iran,630,1,0,0,0,1,0,0,0,0,1,1,1
1990,Iraq,645,0,0,0,0,0,0,0,0,0,0,0,0
1990,Ireland,205,0,0,0,0,0,0,0,0,0,0,0,0
1990,Italy,325,1,0,0,0,1,0,0,0,0,1,0,0
1990,Ivory Coast,437,16,7,0,0,5,0,4,0,10,4,4,1
1990,Jamaica,51,0,0,0,0,0,0,0,0,0,0,0,0
1990,Japan,740,8,0,0,2,2,1,0,0,3,2,0,0
1990,Jordan,663,0,0,0,0,0,0,0,0,0,0,0,0
1990,Kazakhstan,705,1,0,0,0,1,0,0,0,1,0,0,0
1990,Kenya,501,6,0,0,0,5,0,0,0,4,1,2,1
1990,Kuwait,690,0,0,0,0,0,0,0,0,0,0,0,0
1990,Kyrgyzstan,703,1,0,0,0,1,0,0,0,1,0,0,0
1990,Laos,812,0,0,0,0,0,0,0,0,0,0,0,0
1990,Lebanon,660,2,0,0,1,1,0,0,0,2,0,1,0
1990,Lesotho,570,0,0,0,0,0,0,0,0,0,0,0,0
1990,Liberia,450,2,0,0,0,0,0,1,0,1,0,1,0
1990,Libya,620,0,0,0,0,0,0,0,0,0,0,0,0
1990,Lithuania,368,1,0,0,0,1,0,0,0,1,0,0,0
1990,Luxembourg,212,0,0,0,0,0,0,0,0,0,0,0,0
1990,Madagascar,580,1,0,0,0,1,0,0,0,0,1,0,0
1990,Malawi,553,1,0,0,0,1,0,0,0,0,1,1,1
1990,Malaysia,820,0,0,0,0,0,0,0,0,0,0,0,0
1990,Mali,432,2,0,0,0,2,0,0,0,2,0,0,0
1990,Mauritania,435,0,0,0,0,0,0,0,0,0,0,0,0
1990,Mauritius,590,0,0,0,0,0,0,0,0,0,0,0,0
1990,Mexico,70,65,0,0,0,5,0,0,0,3,2,3,2
1990,Mongolia,712,13,1,0,0,12,0,4,0,12,0,0,0
1990,Morocco,600,2,0,0,0,0,1,0,0,0,1,0,0
1990,Mozambique,541,3,2,0,0,0,0,0,0,1,1,1,0
1990,Myanmar,775,64,0,0,0,3,0,0,0,3,0,1,0
1990,Namibia,565,1,0,0,0,1,0,0,0,0,1,0,0
1990,Nepal,790,31,0,0,8,16,0,3,1,14,6,8,4
1990,Netherlands,210,1,0,0,0,1,0,0,0,1,0,0,0
1990,Nicaragua,93,10,2,0,0,2,0,0,0,1,1,1,1
1990,Niger,436,4,0,0,1,4,0,0,0,3,1,1,0
1990,Nigeria,475,0,0,0,0,0,0,0,0,0,0,0,0
1990,North Korea,731,0,0,0,0,0,0,0,0,0,0,0,0
1990,Norway,385,0,0,0,0,0,0,0,0,0,0,0,0
1990,Oman,698,0,0,0,0,0,0,0,0,0,0,0,0
1990,Pakistan,770,5,0,0,0,4,0,0,1,1,4,2,2
1990,Panama,95,1,0,0,0,0,0,1,0,1,0,0,0
1990,Papua New Guinea,910,4,0,1,0,1,0,1,0,2,1,0,0
1990,Paraguay,150,0,0,0,0,0,0,0,0,0,0,0,0
1990,Peru,135,17,4,0,0,1,3,0,0,5,2,1,1
1990,Philippines,840,5,0,0,0,3,1,1,0,4,1,0,0
1990,Poland,290,6,0,0,0,2,2,0,0,2,2,1,1
1990,Portugal,235,0,0,0,0,0,0,0,0,0,0,0,0
1990,Qatar,694,0,0,0,0,0,0,0,0,0,0,0,0
1990,Romania,360,118,6,0,8,43,9,28,3,53,10,3,3
1990,Rwanda,517,0,0,0,0,0,0,0,0,0,0,0,0
1990,Saudi Arabia,670,0,0,0,0,0,0,0,0,0,0,0,0
1990,Senegal,433,0,0,0,0,0,0,0,0,0,0,0,0
1990,Sierra Leone,451,0,0,0,0,0,0,0,0,0,0,0,0
1990,Singapore,830,0,0,0,0,0,0,0,0,0,0,0,0
1990,Somalia,520,3,0,0,0,2,1,0,0,0,3,1,1
1990,South Africa,560,33,0,0,1,21,5,3,0,16,9,10,6
1990,South Korea,732,47,3,0,5,16,0,1,0,4,21,17,17
1990,Spain,230,7,1,1,0,3,1,1,0,2,2,0,0
1990,Sri Lanka,780,0,0,0,0,0,0,0,0,0,0,0,0
1990,Sudan,625,0,0,0,0,0,0,0,0,0,0,0,0
1990,Suriname,115,16,0,0,0,3,1,0,0,4,0,0,0
1990,Swaziland,572,1,0,0,0,1,0,0,0,0,1,1,1
1990,Sweden,380,0,0,0,0,0,0,0,0,0,0,0,0
1990,Switzerland,225,1,0,0,0,1,0,0,0,0,1,0,0
1990,Syria,652,0,0,0,0,0,0,0,0,0,0,0,0
1990,Taiwan,713,47,0,0,2,7,0,2,0,5,6,3,2
1990,Tajikistan,702,4,0,0,0,1,1,0,0,1,1,0,0
1990,Tanzania,510,0,0,0,0,0,0,0,0,0,0,0,0
1990,Thailand,800,0,0,0,0,0,0,0,0,0,0,0,0
1990,Togo,461,1,0,0,0,1,0,0,0,0,1,0,0
1990,Tunisia,616,0,0,0,0,0,0,0,0,0,0,0,0
1990,Turkey,640,8,0,0,0,1,0,0,0,0,1,1,1
1990,Turkmenistan,701,0,0,0,0,0,0,0,0,0,0,0,0
1990,Uganda,500,10,0,0,0,2,0,0,0,2,0,1,0
1990,United Arab Emirate,696,0,0,0,0,0,0,0,0,0,0,0,0
1990,United Kingdom,200,38,5,0,0,29,27,2,2,26,10,2,2
1990,Uruguay,165,1,1,0,0,0,0,0,0,1,0,0,0
1990,USSR,364,69,0,0,0,44,0,2,1,36,9,5,4
1990,Uzbekistan,704,3,0,0,0,2,0,0,0,0,2,2,2
1990,Venezuela,101,10,1,0,0,2,5,0,1,2,7,3,3
1990,Vietnam,816,0,0,0,0,0,0,0,0,0,0,0,0
1990,Yemen,679,3,0,0,0,0,1,0,2,3,0,0,0
1990,Yugoslavia,345,28,0,0,4,24,1,8,0,12,13,10,7
1990,Zambia,551,3,0,0,0,0,1,0,0,0,1,1,1
